level,series_id,month,forecast_base,forecast_conservative,forecast_optimistic,ci95_lower,ci95_upper
item,13,2026-07,655012.0230674002,474060.4949138543,835963.5512209461,474060.4949138543,835963.5512209461
item,13,2026-08,675871.9555986036,419967.85035172204,931776.0608454852,419967.85035172204,931776.0608454852
item,13,2026-09,696731.8881298071,383314.64766063547,1010149.1285989787,383314.64766063547,1010149.1285989787
item,13,2026-10,717591.8206610105,355688.76435391867,1079494.8769681023,355688.76435391867,1079494.8769681023
item,13,2026-11,738451.7531922138,333831.8356084182,1143071.6707760096,333831.8356084182,1143071.6707760096
item,13,2026-12,759311.6857234172,316072.7735703651,1202550.5978764694,316072.7735703651,1202550.5978764694
item,13,2027-01,780171.6182546206,301418.8754032353,1258924.361106006,301418.8754032353,1258924.361106006
item,101,2026-07,449671.11013255833,224467.2076007639,674875.0126643528,224467.2076007639,674875.0126643528
item,101,2026-08,447650.7593470504,129164.34608723811,766137.1726068626,129164.34608723811,766137.1726068626
item,101,2026-09,445630.4085615425,55565.807313685305,835695.0098093997,55565.807313685305,835695.0098093997
item,101,2026-10,443610.05777603464,-6797.747287554201,894017.8628396235,-6797.747287554201,894017.8628396235
item,101,2026-11,441589.7069905267,-61981.52786880266,945160.941849856,-61981.52786880266,945160.941849856
item,101,2026-12,439569.3562050188,-112065.29308135412,991204.0054913918,-112065.29308135412,991204.0054913918
item,101,2027-01,437549.00541951094,-158284.51496084646,1033382.5257998684,-158284.51496084646,1033382.5257998684
item,120,2026-07,310534.9513024048,161298.01716465325,459771.88544015633,161298.01716465325,459771.88544015633
item,120,2026-08,302841.78424543136,91788.88798084276,513894.68051002,91788.88798084276,513894.68051002
item,120,2026-09,295148.617188458,36662.66489606208,553634.5694808539,36662.66489606208,553634.5694808539
item,120,2026-10,287455.45013148454,-11018.418144018564,585929.3184069877,-11018.418144018564,585929.3184069877
item,120,2026-11,279762.2830745111,-53941.64641116036,613466.2125601826,-53941.64641116036,613466.2125601826
item,120,2026-12,272069.11601753766,-93485.22339729348,637623.4554323688,-93485.22339729348,637623.4554323688
item,120,2027-01,264375.9489605643,-130467.86519365187,659219.7631147804,-130467.86519365187,659219.7631147804
item,102,2026-07,275702.1196429284,116885.93449795348,434518.3047879033,116885.93449795348,434518.3047879033
item,102,2026-08,279297.0657958891,54697.062839509075,503897.06875226914,54697.062839509075,503897.06875226914
item,102,2026-09,282892.0119488498,7814.310213487595,557969.713684212,7814.310213487595,557969.713684212
item,102,2026-10,286486.9581018105,-31145.412188139395,604119.3283917604,-31145.412188139395,604119.3283917604
item,102,2026-11,290081.9042547711,-65041.881656585145,645205.6901661274,-65041.881656585145,645205.6901661274
item,102,2026-12,293676.85040773184,-95341.76609283837,682695.466908302,-95341.76609283837,682695.466908302
item,102,2027-01,297271.7965606925,-122916.33350490173,717459.9266262867,-122916.33350490173,717459.9266262867
item,346,2026-07,234438.17854242845,132712.01836623228,336164.3387186246,132712.01836623228,336164.3387186246
item,346,2026-08,237352.63163974247,93490.116270428,381215.14700905693,93490.116270428,381215.14700905693
item,346,2026-09,240267.0847370565,64072.206852994976,416461.962621118,64072.206852994976,416461.962621118
item,346,2026-10,243181.5378343705,39729.21748197818,446633.85818676284,39729.21748197818,446633.85818676284
item,346,2026-11,246095.99093168456,18629.38168767793,473562.6001756912,18629.38168767793,473562.6001756912
item,346,2026-12,249010.44402899858,-166.7418953125307,498187.62995330966,-166.7418953125307,498187.62995330966
item,346,2027-01,251924.8971263126,-17217.224529424973,521067.0187820502,-17217.224529424973,521067.0187820502
item,104,2026-07,146441.293282308,62010.09410768621,230872.49245692982,62010.09410768621,230872.49245692982
item,104,2026-08,142228.73144168328,22824.984481509062,261632.4784018575,22824.984481509062,261632.4784018575
item,104,2026-09,138016.16960105856,-8222.957113353856,284255.29631547094,-8222.957113353856,284255.29631547094
item,104,2026-10,133803.60776043384,-35058.79058880976,302666.00610967743,-35058.79058880976,302666.00610967743
item,104,2026-11,129591.04591980913,-59202.85485646936,318384.9466960876,-59202.85485646936,318384.9466960876
item,104,2026-12,125378.4840791844,-81434.8722699352,332191.840428304,-81434.8722699352,332191.840428304
item,104,2027-01,121165.92223855968,-102218.03367245152,344549.8781495709,-102218.03367245152,344549.8781495709
item,108,2026-07,122843.40810148872,57685.89041723896,188000.92578573848,57685.89041723896,188000.92578573848
item,108,2026-08,119734.09273283747,27587.447533206665,211880.73793246827,27587.447533206665,211880.73793246827
item,108,2026-09,116624.77736418623,3768.6462399980373,229480.90848837444,3768.6462399980373,229480.90848837444
item,108,2026-10,113515.46199553498,-16799.573372964544,243830.4973640345,-16799.573372964544,243830.4973640345
item,108,2026-11,110406.14662688374,-35290.49216024342,256102.7854140109,-35290.49216024342,256102.7854140109
item,108,2026-12,107296.8312582325,-52305.83997455082,266899.5024910158,-52305.83997455082,266899.5024910158
item,108,2027-01,104187.51588958125,-68203.07194923681,276578.1037283993,-68203.07194923681,276578.1037283993
item,404,2026-07,228928.94004940445,141795.0387925583,316062.8413062506,141795.0387925583,316062.8413062506
item,404,2026-08,237222.69073307732,113996.74583316743,360448.63563298725,113996.74583316743,360448.63563298725
item,404,2026-09,245516.44141675017,94596.097378203,396436.78545529733,94596.097378203,396436.78545529733
item,404,2026-10,253810.19210042304,79542.38958673074,428077.99461411533,79542.38958673074,428077.99461411533
item,404,2026-11,262103.94278409588,67266.61642903351,456941.26913915825,67266.61642903351,456941.26913915825
item,404,2026-12,270397.6934677687,56964.09609044183,483831.29084509565,56964.09609044183,483831.29084509565
item,404,2027-01,278691.44415144157,48156.81066296829,509226.0776399148,48156.81066296829,509226.0776399148
item,402,2026-07,278364.8160405167,180118.56622543343,376611.0658556,180118.56622543343,376611.0658556
item,402,2026-08,293665.1668319786,154723.98789119264,432606.3457727645,154723.98789119264,432606.3457727645
item,402,2026-09,308965.5176234404,138798.0212906118,479133.013956269,138798.0212906118,479133.013956269
item,402,2026-10,324265.8684149023,127773.36878473577,520758.3680450688,127773.36878473577,520758.3680450688
item,402,2026-11,339566.2192063641,119880.92608541177,559251.5123273164,119880.92608541177,559251.5123273164
item,402,2026-12,354866.569997826,114213.38880886586,595519.7511867862,114213.38880886586,595519.7511867862
item,402,2027-01,370166.92078928783,110231.77653385198,630102.0650447237,110231.77653385198,630102.0650447237
item,257,2026-07,132030.15962034548,76316.95640234895,187743.36283834203,76316.95640234895,187743.36283834203
item,257,2026-08,135797.52149280073,57007.153898661665,214587.8890869398,57007.153898661665,214587.8890869398
item,257,2026-09,139564.883365256,43066.78473927615,236062.98199123587,43066.78473927615,236062.98199123587
item,257,2026-10,143332.24523771126,31905.8388017182,254758.65167370433,31905.8388017182,254758.65167370433
item,257,2026-11,147099.60711016654,22521.09747046625,271678.11674986687,22521.09747046625,271678.11674986687
item,257,2026-12,150866.9689826218,14398.049162544543,287335.88880269905,14398.049162544543,287335.88880269905
item,257,2027-01,154634.33085507707,7231.05039745479,302037.6113126994,7231.05039745479,302037.6113126994
