item_code,item_name,brand,revenue,qty,n_invoices,asp,contribution_pct,cum_contribution_pct,rank,abc_class,cov,xyz_class
13,سجق شرقى 3 ك ابو هاشم كيس 3,ابوهاشم,8270412.2,24907.0,640,332.0517203998876,14.361,14.361,1,A,0.2673233267650025,X
101,كفته الهنا 800 جرام,الهنا,8264297.59,175454.0,1437,47.10236067573267,14.35,28.711,2,A,0.24235718067958428,X
120,برجر الهنا 900 جرام,الهنا,6827629.9,137475.0,1147,49.66452009456265,11.856,40.567,3,A,0.23751471736007174,X
102,كفته الهنا 350,الهنا,4546806.495,226780.0,1495,20.049415711262018,7.895,48.462,4,A,0.32559716794162796,X
346,بانيه 800 جرام,الهنا,3829041.7,74630.5,765,51.30666014565091,6.649,55.111,5,A,0.2405113877749355,X
104,برجر الهنا 400 جرام,الهنا,3017934.1,123483.0,1036,24.440077581529444,5.24,60.351,6,A,0.2781576159825051,X
108,سجق الهنا 350,الهنا,2359082.63,90760.0,701,25.99253669017188,4.096,64.447,7,A,0.2696616955531189,X
404,برجر اسبشيال عائلى,اسبشيال,2269553.08,38243.0,330,59.345581675077796,3.941,68.388,8,A,0.3541110892675242,X
402,كفته اسبيشيال عائلى,اسبشيال,2206626.18,39302.0,276,56.145391583125544,3.832,72.22,9,A,0.5280851239810052,Y
257,سجق الهنا 5 كيلو,الهنا,1737275.0,5609.0,441,309.7298983776074,3.017,75.237,10,A,0.308206332524713,X
99,سجق الهنا 800 جرام,الهنا,1453315.09,27488.0,265,52.870892389406286,2.524,77.761,11,A,0.33022783900585884,X
2,كبده اسكندرانى 400,ابوهاشم,1130564.0,16161.0,515,69.95631458449354,1.963,79.724,12,A,0.29221551675084323,X
398,بانيه 900 جرام اسباشيل,اسبشيال,1054249.5,18353.0,223,57.44289761891789,1.831,81.555,13,B,0.6336219159806047,Y
1,مفروم صافى 400 جم,ابوهاشم,1017098.2,12498.0,359,81.38087694031044,1.766,83.321,14,B,0.23645697357709491,X
399,كفته اسبيشيال صغير,اسبشيال,765263.435,30966.0,227,24.713021862688112,1.329,84.65,15,B,0.6127486093949922,Y
10,مفروم صويا 400 جم,ابوهاشم,729361.0,11772.0,47,61.95727149167516,1.266,85.916,16,B,0.8087321281149876,Y
403,برجر اسبشيال صغير,اسبشيال,688531.09,25819.0,227,26.667612610867963,1.196,87.112,17,B,0.4684825972628351,X
255,برجر ابو هاشم جامبو 1.5 كيلو,ابوهاشم,678171.8,3990.0,288,169.96786967418547,1.178,88.29,18,B,0.25974843230912187,X
114,كفته ابو هاشم 800,ابوهاشم,609705.57,6693.0,361,91.0960062752129,1.059,89.349,19,B,0.27560730712253545,X
107,سجق 800 ابو هاشم,ابوهاشم,609194.4,6431.0,374,94.72778728036076,1.058,90.407,20,B,0.32001511979372466,X
397,بانيه 800 جرام اسباشيل,اسبشيال,519508.0,10253.0,85,50.668877401736076,0.902,91.309,21,B,0.2730868038330066,X
96,عرض مصنعات,الهنا,502350.0,7270.0,26,69.0990371389271,0.872,92.181,22,B,1.2272404627245044,Z
420,برجر الهنا 800 جرام,الهنا,465852.84,10752.0,131,43.32708705357143,0.809,92.99,23,B,0.4375210681880569,X
80,برجر 1200 جم,ابوهاشم,407901.5,2932.0,32,139.1205661664393,0.708,93.698,24,B,0.8249214849241223,Y
262,بانيه 900 جرام,الهنا,384908.25,7022.0,92,54.8146183423526,0.668,94.366,25,B,0.9183173917088794,Y
44,برجر ابو هاشم 600 جرام,ابوهاشم,332405.0,5119.0,35,64.93553428403985,0.577,94.943,26,B,0.8059466164209909,Y
406,سجق اسبيشيال عائلى,اسبشيال,326721.7,5178.0,41,63.0980494399382,0.567,95.51,27,C,0.8022731694997456,Y
7,سجق 350 جم ابو هاشم,ابوهاشم,311563.5,6956.0,360,44.790612420931566,0.541,96.051,28,C,0.37888838159123,X
405,سجق اسبيشيال صغير,اسبشيال,262639.19,7684.0,93,34.18000910983863,0.456,96.507,29,C,0.8459612491154327,Y
8,كفته 350 جم ابو هاشم,ابوهاشم,218900.2,5403.0,306,40.51456598186193,0.38,96.887,30,C,0.46700382752659403,X
292,عجينه سجق 5 كيلو الهنا,الهنا,217690.0,1049.0,49,207.5214489990467,0.378,97.265,31,C,0.2930868736787343,X
421,برجر ابو هاشم 1 ك,ابوهاشم,194469.21,1720.0,122,113.06349418604651,0.338,97.603,32,C,0.376069054853478,X
6,برجر 400 جم ابو هاشم,ابوهاشم,157623.56,3601.0,205,43.77216328797556,0.274,97.877,33,C,0.5137092428866984,Y
422,بانيه 700 جرام,الهنا,152282.0,3244.0,65,46.94266337854501,0.264,98.141,34,C,0.26715672324159084,X
435,عجينة بقرى 5 ك,ابوهاشم,147906.0,329.0,30,449.5623100303951,0.257,98.398,35,C,0.01289556439853886,X
27,مفروم صويا 350 جم,ابوهاشم,145405.0,2237.0,4,65.0,0.252,98.65,36,C,0.8553558113056762,Y
258,كبده 3 كيلو كيس 3,ابوهاشم,143860.0,279.0,44,515.6272401433691,0.25,98.9,37,C,1.121821428998229,Z
439,استربس الهنا 800 جرام,الهنا,140100.0,935.0,26,149.83957219251337,0.243,99.143,38,C,,Z
33,كيلو مفروم هندى,ابوهاشم,112160.0,511.0,130,219.49119373776907,0.195,99.338,39,C,0.48755229747896084,X
441,استريس اسبشيال 900 جرام,اسبشيال,61560.0,374.0,19,164.59893048128342,0.107,99.445,40,C,,Z
316,موزه,ابوهاشم,48411.18,173.54,10,278.96265990549733,0.084,99.529,41,C,0.06874011957154876,X
109,برجر ابو هاشم 1 ك,ابوهاشم,40270.0,409.0,23,98.45965770171149,0.07,99.599,42,C,0.5622674547492409,Y
423,سجق اسبشيال 5 ك,اسبشيال,28500.0,70.0,5,407.14285714285717,0.049,99.648,43,C,0.42888877139800774,X
356,برجر اسبشيال مخصوص 1 ك,اسبشيال,19433.0,114.9,16,169.1296779808529,0.034,99.682,44,C,0.6745680641261214,Y
387,عجينة سجق بقرى 5 ك اسبشيال,اسبشيال,18895.0,53.0,15,356.50943396226415,0.033,99.715,45,C,0.4138919119455476,X
43,بفتيك 400 جم,ابوهاشم,17800.0,186.0,17,95.6989247311828,0.031,99.746,46,C,0.4943606126180847,X
359,ام اكس,ابوهاشم,13500.0,15.0,1,900.0,0.023,99.769,47,C,,Z
373,عرض مصنعات الهنا كبير,الهنا,12600.0,180.0,3,70.0,0.022,99.791,48,C,0.628539361054709,Y
11,شاورما 400 جم,ابوهاشم,10335.0,106.0,12,97.5,0.018,99.809,49,C,0.6299739776618951,Y
378,مفروم صويا 3 كيلو,ابوهاشم,9582.0,22.0,4,435.54545454545456,0.017,99.826,50,C,,Z
12,مفروم 3 كيلو كيس 3,ابوهاشم,9120.0,15.0,9,608.0,0.016,99.842,51,C,0.41987652505980405,X
105,سجق الهنا 3 كيلو,الهنا,8028.0,42.0,2,191.14285714285714,0.014,99.856,52,C,,Z
382,كيلو سجق مخصوص,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),7870.0,43.0,13,183.02325581395348,0.014,99.87,53,C,0.8737709955469424,Y
20,كيلو اسكندرانى,ابوهاشم,7307.5,44.0,24,166.07954545454547,0.013,99.883,54,C,0.8291278808633465,Y
447,استربس الهنا 900 جرام,الهنا,6975.0,45.0,7,155.0,0.012,99.895,55,C,,Z
417,كيلو كفته مخصوص 2,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),6290.0,37.0,5,170.0,0.011,99.906,56,C,,Z
1111,برجر 800 ابوهاشم,ابوهاشم,5400.0,60.0,1,90.0,0.009,99.915,57,C,,Z
319,عجينه حواوشي,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),5280.0,22.0,3,240.0,0.009,99.924,58,C,1.2856486930664501,Z
14,تشكيله هندى امامى,ابوهاشم,4817.2,19.64,5,245.27494908350303,0.008,99.932,59,C,0.1379927874702148,X
190,صميد,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),3625.0,250.0,1,14.5,0.006,99.938,60,C,,Z
18,كيلو برجر,ابوهاشم,3600.0,18.0,1,200.0,0.006,99.944,61,C,,Z
71,طبق ممبار,ابوهاشم,3590.92,103.0,8,34.86330097087379,0.006,99.95,62,C,0.4034511715828256,X
386,سجق اسباشيل 1 كيلو,اسبشيال,3570.0,21.0,3,170.0,0.006,99.956,63,C,0.8754655386119159,Y
385,برجر مخصوص 600 جرام,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2900.0,29.0,3,100.0,0.005,99.961,64,C,0.4388938641847536,X
15,تشكيله برازيلى,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2698.95,9.47,1,284.99999999999994,0.005,99.966,65,C,,Z
21,كيلو سجق,ابوهاشم,2643.0,26.2,11,100.87786259541986,0.005,99.971,66,C,0.8326648835083408,Y
270,برجر اسبشيال,اسبشيال,2370.0,45.0,15,52.666666666666664,0.004,99.975,67,C,0.44370308538879816,X
418,كيلو كفته مخصوص 1,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2040.0,12.0,2,170.0,0.004,99.979,68,C,,Z
23,كيلو كفته,ابوهاشم,2000.0,20.0,6,100.0,0.003,99.982,69,C,0.6614378277661477,Y
87,جلتومات الصوديوم,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),1875.0,25.0,1,75.0,0.003,99.985,70,C,,Z
261,كتف هندى,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),1064.0,5.6,1,190.0,0.002,99.987,71,C,,Z
86,كيلو كفته مخصوص 1,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),1020.0,6.0,4,170.0,0.002,99.989,72,C,0.9428090415820635,Y
19,كيلو قطع ه,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),1000.0,4.0,1,250.0,0.002,99.991,73,C,,Z
433,عجينة بقرى 1 ك,ابوهاشم,900.0,12.0,8,75.0,0.002,99.993,74,C,0.9428090415820635,Y
16,كرتونه كبده امريكى,ابوهاشم,850.0,5.0,2,170.0,0.001,99.994,75,C,0.565685424949238,Y
11111,كفته حاتي سيخ,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),640.0,16.0,4,40.0,0.001,99.995,76,C,,Z
296,عجينه كفته,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),600.0,3.0,1,200.0,0.001,99.996,77,C,,Z
432,بفتيك 600 جرام,ابوهاشم,540.0,3.0,2,180.0,0.001,99.997,78,C,,Z
383,كيلو عجينة سجق مخصوص,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),450.0,3.0,2,150.0,0.001,99.998,79,C,0.47140452079103173,X
419,عجينة سجق اسباشيل بقرى 250 جرام,اسبشيال,437.5,35.0,7,12.5,0.001,99.999,80,C,0.6433331570970116,Y
388,عجينة كفته الهنا خام,الهنا,400.0,5.0,1,80.0,0.001,100.0,81,C,,Z
299,جلد فراخ,ابوهاشم,390.0,15.0,1,26.0,0.001,100.001,82,C,,Z
440,استربس الهنا 1 كيلو,الهنا,360.0,3.0,1,120.0,0.001,100.002,83,C,,Z
370,مفروم فراخ A,ابوهاشم,300.0,5.0,1,60.0,0.001,100.003,84,C,,Z
416,عجينة سجق اسبشيال نصف كيلو,اسبشيال,140.0,6.0,4,23.333333333333332,0.0,100.003,85,C,0.5,X
379,بكرة لزق شفاف,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),25.0,1.0,1,25.0,0.0,100.003,86,C,,Z
436,عجينة بقرى 500 جرام,ابوهاشم,0.0,1.0,1,0.0,0.0,100.003,87,C,,Z
