invoice_id,source_file,line_seq,item_code,item_name_raw,unit_raw,qty,unit_price,discount_pct,tax_pct,line_total
b2406,june_2026,1,435,عجينة بقرى 5 ك,كيلو,3.0,460.0,0.0,0.0,1380.0
b2406,june_2026,2,346,بانيه 800 جرام,طلق,12.0,57.0,0.0,0.0,684.0
B2407,june_2026,1,346,بانيه 800 جرام,طلق,12.0,57.0,0.0,0.0,684.0
B2407,june_2026,2,441,استريس اسبشيال 900 جرام,كيس,3.0,165.0,0.0,0.0,495.0
b2408,june_2026,1,435,عجينة بقرى 5 ك,كيلو,3.0,460.0,0.0,0.0,1380.0
b2408,june_2026,2,404,برجر اسبشيال عائلى,طلق,12.0,80.0,15.0,0.0,816.0
b2408,june_2026,3,346,بانيه 800 جرام,طلق,12.0,57.0,0.0,0.0,684.0
b2409,june_2026,1,435,عجينة بقرى 5 ك,كيلو,1.0,460.0,0.0,0.0,460.0
b2409,june_2026,2,346,بانيه 800 جرام,طلق,1.0,57.0,0.0,0.0,57.0
b2409,june_2026,3,441,استريس اسبشيال 900 جرام,كيس,1.0,165.0,0.0,0.0,165.0
b2409,june_2026,4,404,برجر اسبشيال عائلى,طلق,1.0,80.0,15.0,0.0,68.0
b2409,june_2026,5,402,كفته اسبشيال عائلى,طلق,1.0,78.0,15.0,0.0,66.3
B2410,june_2026,1,402,كفته اسبشيال عائلى,طلق,1.0,78.0,15.0,0.0,66.3
B2410,june_2026,2,435,عجينة بقرى 5 ك,كيلو,1.0,460.0,0.0,0.0,460.0
B2410,june_2026,3,404,برجر اسبشيال عائلى,طلق,1.0,80.0,15.0,0.0,68.0
B2410,june_2026,4,346,بانيه 800 جرام,طلق,1.0,57.0,0.0,0.0,57.0
B2410,june_2026,5,441,استريس اسبشيال 900 جرام,كيس,1.0,165.0,0.0,0.0,165.0
b2411,june_2026,1,435,عجينة بقرى 5 ك,كيلو,1.0,460.0,0.0,0.0,460.0
b2411,june_2026,2,404,برجر اسبشيال عائلى,طلق,12.0,80.0,15.0,0.0,816.0
b2411,june_2026,3,402,كفته اسبشيال عائلى,طلق,12.0,78.0,15.0,0.0,795.6
b2412,june_2026,1,404,برجر اسبشيال عائلى,طلق,24.0,80.0,15.0,0.0,1632.0
b2414,june_2026,1,399,كفته اسبشيال صغير,طلق,15.0,35.0,15.0,0.0,446.25
b2414,june_2026,2,402,كفته اسبشيال عائلى,طلق,12.0,78.0,15.0,0.0,795.6
b2414,june_2026,3,346,بانيه 800 جرام,طلق,12.0,57.0,0.0,0.0,684.0
b2414,june_2026,4,441,استريس اسبشيال 900 جرام,كيس,20.0,165.0,0.0,0.0,3300.0
b2414,june_2026,5,404,برجر اسبشيال عائلى,طلق,8.0,80.0,15.0,0.0,544.0
b2415,june_2026,1,435,عجينة بقرى 5 ك,كيلو,1.0,460.0,0.0,0.0,460.0
b2416,june_2026,1,101,كفته الهنا 800 جرام,طلق,300.0,67.0,15.0,0.0,17085.0
b2416,june_2026,2,120,برجر الهنا 900 جرام,طلق,36.0,70.0,15.0,0.0,2142.0
b2417,june_2026,1,101,كفته الهنا 800 جرام,طلق,12.0,0.0,0.0,0.0,0.0
b2418,june_2026,1,404,برجر اسبشيال عائلى,طلق,48.0,80.0,15.0,0.0,3264.0
b2419,june_2026,1,398,بانيه 900 جرام اسباشيل,كيس,10.0,62.0,0.0,0.0,620.0
b2420,june_2026,1,398,بانيه 900 جرام اسباشيل,كيس,10.0,62.0,0.0,0.0,620.0
b2422,june_2026,1,398,بانيه 900 جرام اسباشيل,كيس,30.0,62.0,0.0,0.0,1860.0
b2422,june_2026,2,404,برجر اسبشيال عائلى,طلق,1.0,0.0,0.0,0.0,0.0
b2424,june_2026,1,402,كفته اسبشيال عائلى,طلق,2.0,66.3,0.0,0.0,132.6
b2424,june_2026,2,404,برجر اسبشيال عائلى,طلق,1.0,68.0,0.0,0.0,68.0
b2425,june_2026,1,13,سجق شرقي 3 كه ابو هاشم,كيس 3 كيلو,20.0,375.0,0.0,0.0,7500.0
b2425,june_2026,2,441,استريس اسبشيال 900 جرام,كيس,10.0,165.0,0.0,0.0,1650.0
b2425,june_2026,3,398,بانيه 900 جرام اسباشيل,كيس,10.0,62.0,0.0,0.0,620.0
b2426,june_2026,1,404,برجر اسبشيال عائلى,طبق,24.0,80.0,0.0,15.0,1632.0
b2426,june_2026,2,398,بانيه 900 جرام اسباشيل,كيس,10.0,62.0,0.0,0.0,620.0
b2427,june_2026,1,257,سجق الهنا 5 كيلو,طبق,28.0,370.0,0.0,0.0,10360.0
b2428,june_2026,1,398,بانيه 900 جرام اسباشيل,كيس,150.0,62.0,0.0,0.0,9300.0
b2428,june_2026,2,402,كفته اسبيشيال عائلى,طبق,84.0,80.0,0.0,15.0,5712.0
b2429,june_2026,1,404,برجر اسبشيال عائلى,طبق,12.0,80.0,0.0,15.0,816.0
b2429,june_2026,2,398,بانيه 900 جرام اسباشيل,كيس,10.0,62.0,0.0,0.0,620.0
b2430,june_2026,1,101,كفته الهنا 800 جرام,طبق,300.0,67.0,0.0,15.0,17085.0
b2431,june_2026,1,101,كفته الهنا 800 جرام,طبق,12.0,0.0,0.0,0.0,0.0
b2432,june_2026,1,404,برجر اسبشيال عائلى,طبق,12.0,80.0,0.0,15.0,816.0
b2432,june_2026,2,402,كفته اسبيشيال عائلى,طبق,12.0,78.0,0.0,15.0,795.6
b2433,june_2026,1,101,كفته الهنا 800 جرام,طبق,300.0,67.0,0.0,15.0,17085.0
b2434,june_2026,1,101,كفته الهنا 800 جرام,طبق,12.0,0.0,0.0,0.0,0.0
b2435,june_2026,1,257,سجق الهنا 5 كيلو,طبق,5.0,370.0,0.0,0.0,1850.0
b2436,june_2026,1,398,بانيه 900 جرام اسباشيل,كيس,10.0,62.0,0.0,0.0,620.0
b2437,june_2026,1,398,بانيه 900 جرام اسباشيل,كيس,10.0,62.0,0.0,0.0,620.0
b2438,june_2026,1,404,برجر اسبشيال عائلى,طبق,1.0,65.0,0.0,0.0,65.0
b2451,june_2026,1,120,برجر الهنا 900 جرام,طبق,48.0,0.0,0.0,0.0,0.0
b2452,june_2026,1,435,عجينة بقرى 5 ك,كيلو,30.0,460.0,0.0,0.0,13800.0
b2453,june_2026,1,403,برجر اسبشيال صغير,طبق,45.0,36.0,0.0,15.0,1377.0
b2453,june_2026,2,402,كفته اسبيشيال عائلى,طبق,36.0,78.0,0.0,15.0,2386.8
b2453,june_2026,3,399,كفته اسبيشيال صغير,طبق,45.0,35.0,0.0,15.0,1338.75
b2453,june_2026,4,405,سجق اسبيشيال صغير,طبق,15.0,39.0,0.0,15.0,497.25
b2453,june_2026,5,406,سجق اسبيشيال عائلى,طبق,12.0,84.0,0.0,15.0,856.8
b2453,june_2026,6,439,استريس الهنا 800 جرام,طبق,24.0,150.0,0.0,0.0,3600.0
b2453,june_2026,7,404,برجر اسبيشيال عائلى,طبق,12.0,80.0,0.0,15.0,816.0
b2454,june_2026,1,404,برجر اسبشيال عائلى,طبق,12.0,80.0,0.0,15.0,816.0
b2454,june_2026,2,402,كفته اسبيشيال عائلى,طبق,60.0,78.0,0.0,15.0,3978.0
b2454,june_2026,3,346,بانيه 800 جرام,طبق,24.0,57.0,0.0,0.0,1368.0
B2455,june_2026,1,404,برجر اسبشيال عائلى,طبق,120.0,80.0,0.0,15.0,8160.0
B2455,june_2026,2,403,برجر اسبيشيال صغير,طبق,150.0,36.0,0.0,15.0,4590.0
B2455,june_2026,3,399,كفته اسبيشيال صغير,طبق,45.0,35.0,0.0,15.0,1338.75
B2455,june_2026,4,405,سجق اسبيشيال صغير,طبق,150.0,39.0,0.0,15.0,4972.5
B2455,june_2026,5,435,عجينة بقرى 5 ك,كيلو,6.0,460.0,0.0,0.0,2760.0
b2456,june_2026,1,404,برجر اسبشيال عائلى,طبق,12.0,80.0,0.0,15.0,816.0
b2456,june_2026,2,403,برجر اسبيشيال صغير,طبق,15.0,36.0,0.0,15.0,459.0
b2457,june_2026,1,403,برجر اسبشيال صغير,طلق,15.0,36.0,15.0,0.0,459.0
b2457,june_2026,2,346,بانيه 800 جرام,طلق,12.0,57.0,0.0,0.0,684.0
b2457,june_2026,3,441,استريس اسبشيال 900 جرام,كس,10.0,165.0,0.0,0.0,1650.0
b2459,june_2026,1,399,كفته اسبشيال صغير,طلق,1.0,0.0,0.0,0.0,0.0
b2459,june_2026,2,405,سجق اسبشيال صغير,طلق,1.0,0.0,0.0,0.0,0.0
b2459,june_2026,3,403,برجر اسبشيال صغير,طلق,1.0,0.0,0.0,0.0,0.0
b2460,june_2026,1,399,كفته اسبشيال صغير,طلق,1.0,0.0,0.0,0.0,0.0
b2460,june_2026,2,403,برجر اسبشيال صغير,طلق,1.0,0.0,0.0,0.0,0.0
b2460,june_2026,3,405,سجق اسبشيال صغير,طلق,1.0,0.0,0.0,0.0,0.0
b2461,june_2026,1,404,برجر اسبشيال عائلي,طلق,132.0,80.0,15.0,0.0,8976.0
b2461,june_2026,2,403,برجر اسبشيال صغير,طلق,45.0,36.0,15.0,0.0,1377.0
b2461,june_2026,3,402,كفته اسبشيال عائلي,طلق,96.0,78.0,15.0,0.0,6364.8
b2461,june_2026,4,399,كفته اسبشيال صغير,طلق,45.0,35.0,15.0,0.0,1338.75
b2461,june_2026,5,398,بانيه 900 جرام اسباشيل,كس,200.0,62.0,0.0,0.0,12400.0
b2462,june_2026,1,398,بانيه 900 جرام اسباشيل,كس,160.0,62.0,0.0,0.0,9920.0
b2463,june_2026,1,404,برجر اسبشيال عائلي,طلق,12.0,80.0,15.0,0.0,816.0
b2463,june_2026,2,403,برجر اسبشيال صغير,طلق,15.0,36.0,15.0,0.0,459.0
b2463,june_2026,3,405,سجق اسبشيال صغير,طلق,15.0,39.0,15.0,0.0,497.25
b2463,june_2026,4,398,بانيه 900 جرام اسباشيل,كس,10.0,62.0,0.0,0.0,620.0
b2463,june_2026,5,441,استريس اسبشيال 900 جرام,كس,10.0,165.0,0.0,0.0,1650.0
b2463,june_2026,6,402,كفته اسبشيال عائلي,طلق,12.0,78.0,15.0,0.0,795.6
b2463,june_2026,7,399,كفته اسبشيال صغير,طلق,15.0,35.0,15.0,0.0,446.25
b2464,june_2026,1,398,بانيه 900 جرام اسباشيل,كس,300.0,62.0,0.0,0.0,18600.0
b2465,june_2026,1,404,برجر اسبشيال عائلي,طلق,60.0,80.0,15.0,0.0,4080.0
b2466,june_2026,1,398,بانيه 900 جرام اسباشيل,كس,150.0,62.0,0.0,0.0,9300.0
b2466,june_2026,2,441,استريس اسبشيال 900 جرام,كس,120.0,165.0,0.0,0.0,19800.0
b2466,june_2026,3,1,مفروم صافي 400 جم ( ابو هاشم ),طلق,100.0,100.0,0.0,0.0,10000.0
b2466,june_2026,4,2,كبده اسكندراني 400 ( ابو هاشم ),طلق,100.0,78.0,0.0,0.0,7800.0
b2466,june_2026,5,255,برجر ابو هاشم جامبو 1.5 كيلو,طلق,27.0,185.0,0.0,0.0,4995.0
b2466,june_2026,6,435,عجينة بقرى 5 ك,كلو,21.0,460.0,0.0,0.0,9660.0
b2467,june_2026,1,398,بانيه 900 جرام اسباشيل,كس,220.0,62.0,0.0,0.0,13640.0
b2468,june_2026,1,399,كفته اسبشيال صغير,طلق,30.0,35.0,15.0,0.0,892.5
b2468,june_2026,2,441,استريس اسبشيال 900 جرام,كس,9.0,165.0,0.0,0.0,1485.0
b2469,june_2026,1,404,برجر اسبشيال عائلي,طلق,12.0,80.0,15.0,0.0,816.0
b2470,june_2026,1,13,سجق شرقى 3 ك ابو هاشم,كس 3 كلو,1.0,375.0,0.0,0.0,375.0
b2471,june_2026,1,398,بانيه 900 جرام اسباشيل,كس,60.0,62.0,0.0,0.0,3720.0
b2471,june_2026,2,257,سجق الهنا 5 كيلو,طلق,50.0,370.0,0.0,0.0,18500.0
b2471,june_2026,3,435,عجينة بقرى 5 ك,كلو,51.0,450.0,0.0,0.0,22950.0
b2472,june_2026,1,346,بانيه 800 جرام,طلق,60.0,55.0,0.0,0.0,3300.0
b2472,june_2026,2,120,برجر الهنا 900 جرام,طلق,120.0,70.0,15.0,0.0,7140.0
b2472,june_2026,3,104,برجر الهنا 400 جرام,طلق,45.0,34.0,15.0,0.0,1300.5
b2472,june_2026,4,102,كفته الهنا 350,طلق,30.0,32.0,15.0,0.0,816.0
b2473,june_2026,1,346,بانيه 800 جرام,طلق,180.0,55.0,0.0,0.0,9900.0
b2474,june_2026,1,120,برجر الهنا 900 جرام,طلق,36.0,70.0,15.0,0.0,2142.0
b2474,june_2026,2,104,برجر الهنا 400 جرام,طلق,45.0,34.0,15.0,0.0,1300.5
b2474,june_2026,3,101,كفته الهنا 800 جرام,طلق,36.0,67.0,15.0,0.0,2050.2
b2474,june_2026,4,102,كفته الهنا 350,طلق,45.0,32.0,15.0,0.0,1224.0
b2475,june_2026,1,257,سجق الهنا 5 كيلو,طلق,2.0,370.0,0.0,0.0,740.0
b2475,june_2026,2,398,بانيه 900 جرام اسباشيل,كس,9.0,62.0,0.0,0.0,558.0
b2476,june_2026,1,447,استريس الهنا 900 جرام,كس,20.0,155.0,0.0,0.0,3100.0
b2477,june_2026,1,402,كفته اسبشيال عائلي,طلق,12.0,78.0,15.0,0.0,795.6
b2477,june_2026,2,405,سجق اسبشيال صغير,طلق,15.0,39.0,15.0,0.0,497.25
b2477,june_2026,3,404,برجر اسبشيال عائلي,طلق,12.0,80.0,15.0,0.0,816.0
b2478,june_2026,1,346,بانيه 800 جرام,طبق,12.0,55.0,0.0,0.0,660.0
b2478,june_2026,2,399,كفته اسبيشيال صغير,طبق,15.0,35.0,0.0,15.0,446.25
b2478,june_2026,3,403,برجر اسبيشيال صغير,طبق,15.0,36.0,0.0,15.0,459.0
b2479,june_2026,1,404,برجر اسبيشيال عائلي,طبق,24.0,80.0,0.0,15.0,1632.0
b2479,june_2026,2,403,برجر اسبيشيال صغير,طبق,15.0,36.0,0.0,15.0,459.0
b2479,june_2026,3,402,كفته اسبيشيال عائلي,طبق,12.0,78.0,0.0,15.0,795.6
b2479,june_2026,4,399,كفته اسبيشيال صغير,طبق,30.0,35.0,0.0,15.0,892.5
b2480,june_2026,1,402,كفته اسبيشيال عائلي,طبق,12.0,0.0,0.0,0.0,0.0
b2480,june_2026,2,403,برجر اسبيشيال صغير,طبق,15.0,0.0,0.0,0.0,0.0
b2481,june_2026,1,404,برجر اسبيشيال عائلي,طبق,120.0,80.0,0.0,15.0,8160.0
b2481,june_2026,2,402,كفته اسبيشيال عائلي,طبق,120.0,78.0,0.0,15.0,7956.0
b2481,june_2026,3,403,برجر اسبيشيال صغير,طبق,30.0,36.0,0.0,15.0,918.0
b2481,june_2026,4,399,كفته اسبيشيال صغير,طبق,30.0,35.0,0.0,15.0,892.5
b2481,june_2026,5,405,سجق اسبيشيال صغير,طبق,15.0,39.0,0.0,15.0,497.25
b2481,june_2026,6,435,عجينة بقري 5 ك,كيلو,3.0,460.0,0.0,0.0,1380.0
b2482,june_2026,1,398,بانيه 900 جرام اسباشيل,كيس,20.0,62.0,0.0,0.0,1240.0
b2482,june_2026,2,402,كفته اسبيشيال عائلي,طبق,24.0,0.0,0.0,0.0,0.0
b2482,june_2026,3,404,برجر اسبيشيال عائلي,طبق,24.0,0.0,0.0,0.0,0.0
b2483,june_2026,1,403,برجر اسبيشيال صغير,طبق,15.0,36.0,0.0,15.0,459.0
b2484,june_2026,1,398,بانيه 900 جرام اسباشيل,كيس,100.0,60.0,0.0,0.0,6000.0
b2485,june_2026,1,405,سجق اسبيشيال صغير,طبق,30.0,0.0,0.0,0.0,0.0
b2499,june_2026,1,13,سجق شرقي 3 ك ابو هاشم,كيس 3 كيلو,180.0,375.0,0.0,0.0,67500.0
b2499,june_2026,2,108,سجق الهنا 350,طبق,75.0,36.0,0.0,15.0,2295.0
b2499,june_2026,3,102,كفته الهنا 350,طبق,150.0,32.0,0.0,15.0,4080.0
b2499,june_2026,4,104,برجر الهنا 400 جرام,طبق,75.0,34.0,0.0,15.0,2167.5
b2499,june_2026,5,403,برجر اسبيشيال صغير,طبق,75.0,36.0,0.0,15.0,2295.0
b2499,june_2026,6,399,كفته اسبيشيال صغير,طبق,150.0,35.0,0.0,15.0,4462.5
b2500,june_2026,1,257,سجق الهنا 5 كيلو,طبق,22.0,370.0,0.0,0.0,8140.0
b2501,june_2026,1,421,برجر ابو هاشم 1 ك,طبق,60.0,132.0,0.0,10.0,7128.0
b2501,june_2026,2,8,كفته 350 جم ابو هاشم,طبق,40.0,56.0,0.0,10.0,2016.0
b2501,june_2026,3,7,سجق 350 جم ابو هاشم,طبق,60.0,61.0,0.0,10.0,3294.0
b2502,june_2026,1,292,عجينه سجق 5 كيلو الهنا,طبق,26.0,230.0,0.0,0.0,5980.0
b2503,june_2026,1,13,سجق شرقي 3 ك ابو هاشم,كيس 3 كيلو,2.0,375.0,0.0,0.0,750.0
b2504,june_2026,1,101,كفته الهنا 800 جرام,طبق,24.0,67.0,0.0,15.0,1366.8
b2504,june_2026,2,120,برجر الهنا 900 جرام,طبق,12.0,70.0,0.0,15.0,714.0
b2504,june_2026,3,108,سجق الهنا 350,طبق,30.0,36.0,0.0,15.0,918.0
b2504,june_2026,4,99,سجق الهنا 800 جرام,طبق,24.0,73.0,0.0,15.0,1489.2
b2504,june_2026,5,102,كفته الهنا 350,طبق,60.0,32.0,0.0,15.0,1632.0
b2504,june_2026,6,435,عجينة بقري 5 ك,كيلو,3.0,460.0,0.0,0.0,1380.0
b2504,june_2026,7,13,سجق شرقي 3 ك ابو هاشم,كيس 3 كيلو,4.0,375.0,0.0,0.0,1500.0
b2505,june_2026,1,101,كفته الهنا 800 جرام,طبق,36.0,67.0,0.0,15.0,2050.2
b2505,june_2026,2,346,بانيه 800 جرام,طبق,36.0,57.0,0.0,0.0,2052.0
b2505,june_2026,3,257,سجق الهنا 5 كيلو,طبق,1.0,370.0,0.0,0.0,370.0
b2506,june_2026,1,257,سجق الهنا 5 كيلو,طبق,10.0,370.0,0.0,0.0,3700.0
b2507,june_2026,1,120,برجر الهنا 900 جرام,طبق,24.0,70.0,0.0,15.0,1428.0
b2507,june_2026,2,101,كفته الهنا 800 جرام,طبق,12.0,67.0,0.0,15.0,683.4
b2507,june_2026,3,104,برجر الهنا 400 جرام,طبق,15.0,34.0,0.0,15.0,433.5
b2507,june_2026,4,102,كفته الهنا 350,طبق,15.0,32.0,0.0,15.0,408.0
b2507,june_2026,5,346,بانيه 800 جرام,طبق,24.0,57.0,0.0,0.0,1368.0
b2508,june_2026,1,257,سجق الهنا 5 كيلو,طبق,2.0,370.0,0.0,0.0,740.0
b2509,june_2026,1,120,برجر الهنا 900 جرام,طبق,720.0,70.0,0.0,15.0,42840.0
b2509,june_2026,2,101,كفته الهنا 800 جرام,طبق,480.0,67.0,0.0,15.0,27336.0
b2510,june_2026,1,120,برجر الهنا 900 جرام,طبق,12.0,70.0,0.0,15.0,714.0
b2510,june_2026,2,104,برجر الهنا 400 جرام,طبق,60.0,34.0,0.0,15.0,1734.0
b2510,june_2026,3,108,سجق الهنا 350,طبق,60.0,36.0,0.0,15.0,1836.0
b2510,june_2026,4,101,كفته الهنا 800 جرام,طبق,24.0,67.0,0.0,15.0,1366.8
b2510,june_2026,5,102,كفته الهنا 350,طبق,30.0,32.0,0.0,15.0,816.0
b2511,june_2026,1,101,كفته الهنا 800 جرام,طبق,48.0,0.0,0.0,0.0,0.0
b2511,june_2026,2,120,برجر الهنا 900 جرام,طبق,48.0,0.0,0.0,0.0,0.0
b2512,june_2026,1,102,كفته الهنا 350,طبق,15.0,0.0,0.0,0.0,0.0
b2513,june_2026,1,13,سجق شرقي 3 ك ابو هاشم,كيس 3 كلو,200.0,375.0,0.0,0.0,75000.0
b2513,june_2026,2,402,كفته اسبيشيال عائلي,طبق,120.0,78.0,0.0,15.0,7956.0
b2513,june_2026,3,399,كفته اسبيشيال صغير,طبق,150.0,35.0,0.0,15.0,4462.5
b2513,june_2026,4,102,كفته الهنا 350,طبق,150.0,32.0,0.0,15.0,4080.0
b2513,june_2026,5,108,سجق الهنا 350,طبق,150.0,36.0,0.0,15.0,4590.0
b2551,june_2026,1,447,استربس الهنا 900 جرام,كيس,10.0,155.0,0.0,0.0,1550.0
b2552,june_2026,1,33,كيلو مفروم هندي,كيلو,3.0,275.0,0.0,0.0,825.0
b2553,june_2026,1,257,سجق الهنا 5 كيلو,طبق,1.0,370.0,0.0,0.0,370.0
b2553,june_2026,2,346,بانيه 800 جرام,طبق,24.0,55.0,0.0,0.0,1320.0
b2554,june_2026,1,398,بانيه 900 جرام اسباشيل,كيس,1.0,60.0,0.0,0.0,60.0
b2555,june_2026,1,447,استربس الهنا 900 جرام,كيس,2.0,155.0,0.0,0.0,310.0
b2556,june_2026,1,439,استربس الهنا 800 جرام,طبق,1.0,150.0,0.0,0.0,150.0
b2557,june_2026,1,421,برجر ابو هاشم 1 ك,طبق,1.0,130.0,0.0,10.0,117.0
b2558,june_2026,1,439,استربس الهنا 800 جرام,طبق,1.0,150.0,0.0,0.0,150.0
