item_code,item_name,brand,total_qty,carton_capacity,carton_units,qty_in_boxes,asp_egp,total_revenue,n_lines
13,سجق شرقى 3 ك ابو هاشم كيس 3 كيلو,ابوهاشم,24907.0,4 كيس,4.0,6226.75,332.0517203998876,8270412.2,640
101,كفته الهنا 800 جرام طبق,الهنا,175454.0,12 كيس,12.0,14621.166666666666,47.10236067573267,8264297.59,1439
120,برجر الهنا 900 جرام طبق,الهنا,137475.0,12 كيس,12.0,11456.25,49.66452009456265,6827629.9,1148
102,كفته الهنا 350 طبق,الهنا,226780.0,15 كيس,15.0,15118.666666666666,20.049415711262018,4546806.495,1496
346,بانيه 800 جرام طبق,الهنا,74630.5,12 كيس,12.0,6219.208333333333,51.30666014565091,3829041.7,765
104,برجر الهنا 400 جرام طبق,الهنا,123483.0,15 كيس,15.0,8232.2,24.440077581529444,3017934.1,1037
108,سجق الهنا 350 طبق,الهنا,90760.0,15 كيس,15.0,6050.666666666667,25.99253669017188,2359082.63,701
404,برجر اسبشيال عائلى طبق,اسبشيال,38243.0,12 كيس,12.0,3186.9166666666665,59.345581675077796,2269553.08,331
402,كفته اسبيشيال عائلى طبق,اسبشيال,39302.0,12 كيس,12.0,3275.1666666666665,56.145391583125544,2206626.18,276
257,سجق الهنا 5 كيلو طبق,الهنا,5609.0,2 كيس,2.0,2804.5,309.7298983776074,1737275.0,441
99,سجق الهنا 800 جرام طبق,الهنا,27488.0,12 كيس,12.0,2290.6666666666665,52.870892389406286,1453315.09,265
2,كبده اسكندرانى 400 طبق,ابوهاشم,16161.0,20 علبة,20.0,808.05,69.95631458449354,1130564.0,515
398,بانيه 900 جرام اسباشيل كيس,اسبشيال,18353.0,10 كيس,10.0,1835.3,57.44289761891789,1054249.5,223
1,مفروم صافى 400 جم طبق,ابوهاشم,12498.0,20 علبة,20.0,624.9,81.38087694031044,1017098.2,359
399,كفته اسبيشيال صغير طبق,اسبشيال,30966.0,15 كيس,15.0,2064.4,24.713021862688112,765263.435,227
10,مفروم صويا 400 جم طبق,ابوهاشم,11772.0,28 علبة,28.0,420.42857142857144,61.95727149167516,729361.0,47
403,برجر اسبشيال صغير طبق,اسبشيال,25819.0,15 كيس,15.0,1721.2666666666667,26.667612610867963,688531.09,227
255,برجر ابو هاشم جامبو 1.5 كيلو طبق,ابوهاشم,3990.0,9 كيس,9.0,443.3333333333333,169.96786967418547,678171.8,288
114,كفته ابو هاشم 800 طبق,ابوهاشم,6693.0,16 كيس,16.0,418.3125,91.0960062752129,609705.57,361
107,سجق 800 ابو هاشم طبق,ابوهاشم,6431.0,16 كيس,16.0,401.9375,94.72778728036076,609194.4,374
397,بانيه 800 جرام اسباشيل كيس,اسبشيال,10253.0,12 كيس,12.0,854.4166666666666,50.668877401736076,519508.0,85
96,عرض مصنعات طبق,الهنا,7270.0,,,,69.0990371389271,502350.0,26
420,برجر الهنا 800 جرام طبق,الهنا,10752.0,12 كيس,12.0,896.0,43.32708705357143,465852.84,131
80,برجر 1200 جم طبق,ابوهاشم,2932.0,11 كيس,11.0,266.54545454545456,139.1205661664393,407901.5,32
262,بانيه 900 جرام طبق,الهنا,7022.0,10 كيس,10.0,702.2,54.8146183423526,384908.25,92
44,برجر ابو هاشم 600 جرام طبق,ابوهاشم,5119.0,20 كيس,20.0,255.95,64.93553428403985,332405.0,35
406,سجق اسبيشيال عائلى طبق,اسبشيال,5178.0,12 كيس,12.0,431.5,63.0980494399382,326721.7,41
7,سجق 350 جم ابو هاشم طبق,ابوهاشم,6956.0,20 كيس,20.0,347.8,44.790612420931566,311563.5,360
405,سجق اسبيشيال صغير طبق,اسبشيال,7684.0,15 كيس,15.0,512.2666666666667,34.18000910983863,262639.19,93
8,كفته 350 جم ابو هاشم طبق,ابوهاشم,5403.0,20 كيس,20.0,270.15,40.51456598186193,218900.2,306
292,عجينه سجق 5 كيلو الهنا طبق,الهنا,1049.0,3 كيس,3.0,349.6666666666667,207.5214489990467,217690.0,49
421,برجر ابو هاشم 1 ك طبق,ابوهاشم,1720.0,12 كيس,12.0,143.33333333333334,113.06349418604651,194469.21,122
6,برجر 400 جم ابو هاشم طبق,ابوهاشم,3601.0,20 كيس,20.0,180.05,43.77216328797556,157623.56,205
422,بانيه 700 جرام طبق,الهنا,3244.0,12 كيس,12.0,270.3333333333333,46.94266337854501,152282.0,65
435,عجينة بقرى 5 ك,ابوهاشم,329.0,3 كيس,3.0,109.66666666666667,449.5623100303951,147906.0,30
27,مفروم صويا 350 جم طبق,ابوهاشم,2237.0,,,,65.0,145405.0,4
258,كبده 3 كيلو كيس 3 كيلو,ابوهاشم,279.0,4 كيس,4.0,69.75,515.6272401433691,143860.0,44
439,استربس الهنا 800 جرام,الهنا,935.0,12 كيس,12.0,77.91666666666667,149.83957219251337,140100.0,26
33,كيلو مفروم هندى كيلو,ابوهاشم,511.0,,,,219.49119373776907,112160.0,130
441,استريس اسبشيال 900 جرام,اسبشيال,374.0,,,,164.59893048128342,61560.0,19
316,موزه طبق,ابوهاشم,173.54,,,,278.96265990549733,48411.18,10
109,برجر ابو هاشم 1 ك طبق,ابوهاشم,409.0,12 كيس,12.0,34.083333333333336,98.45965770171149,40270.0,23
423,سجق اسبشيال 5 ك كيس,اسبشيال,70.0,2 كيس,2.0,35.0,407.14285714285717,28500.0,5
356,برجر اسبشيال مخصوص 1 ك طبق,اسبشيال,114.9,,,,169.1296779808529,19433.0,16
387,عجينة سجق بقرى 5 ك اسبشيال طبق,اسبشيال,53.0,,,,356.50943396226415,18895.0,15
43,بفتيك 400 جم طبق,ابوهاشم,186.0,20 كيس,20.0,9.3,95.6989247311828,17800.0,17
359,ام اكس طبق,ابوهاشم,15.0,,,,900.0,13500.0,1
373,عرض مصنعات الهنا كبير طبق,الهنا,180.0,,,,70.0,12600.0,3
11,شاورما 400 جم طبق,ابوهاشم,106.0,20 كيس,20.0,5.3,97.5,10335.0,12
378,مفروم صويا 3 كيلو طبق,ابوهاشم,22.0,4 كيس,4.0,5.5,435.54545454545456,9582.0,4
12,مفروم 3 كيلو كيس 3 كيلو,ابوهاشم,15.0,4 كيس,4.0,3.75,608.0,9120.0,9
105,سجق الهنا 3 كيلو طبق,الهنا,42.0,2 كيس,2.0,21.0,191.14285714285714,8028.0,2
382,كيلو سجق مخصوص طبق,ابوهاشم,43.0,,,,183.02325581395348,7870.0,13
20,كيلو اسكندرانى طبق,ابوهاشم,44.0,,,,166.07954545454547,7307.5,24
447,استربس الهنا 900 جرام,الهنا,45.0,12 كيس,12.0,3.75,155.0,6975.0,7
417,كيلو كفته مخصوص 2 طبق,ابوهاشم,37.0,,,,170.0,6290.0,5
1111,برجر 800 ابوهاشم طبق,ابوهاشم,60.0,16 كيس,16.0,3.75,90.0,5400.0,1
319,عجينه حواوشي طبق,غير مصنف,22.0,,,,240.0,5280.0,3
14,تشكيله هندى امامى كيلو,ابوهاشم,19.64,,,,245.27494908350303,4817.2,5
190,صميد طبق,غير مصنف,250.0,,,,14.5,3625.0,1
18,كيلو برجر طبق,ابوهاشم,18.0,,,,200.0,3600.0,1
71,طبق ممبار طبق,ابوهاشم,103.0,,,,34.86330097087379,3590.92,8
386,سجق اسباشيل 1 كيلو طبق,اسبشيال,21.0,,,,170.0,3570.0,3
385,برجر مخصوص 600 جرام طبق,غير مصنف,29.0,,,,100.0,2900.0,3
15,تشكيله برازيلى كيلو,ابوهاشم,9.47,,,,284.99999999999994,2698.95,1
21,كيلو سجق طبق,ابوهاشم,26.2,,,,100.87786259541986,2643.0,11
270,برجر اسبشيال طبق,اسبشيال,45.0,15 كيس,15.0,3.0,52.666666666666664,2370.0,15
418,كيلو كفته مخصوص 1 طبق,ابوهاشم,12.0,,,,170.0,2040.0,2
23,كيلو كفته طبق,ابوهاشم,20.0,,,,100.0,2000.0,6
87,جلتومات الصوديوم طبق,غير مصنف,25.0,,,,75.0,1875.0,1
261,كتف هندى طبق,ابوهاشم,5.6,,,,190.0,1064.0,1
86,كيلو كفته مخصوص 1 كيلو,ابوهاشم,6.0,,,,170.0,1020.0,4
19,كيلو قطع ه طبق,ابوهاشم,4.0,,,,250.0,1000.0,1
433,عجينة بقرى 1 ك كيلو,ابوهاشم,12.0,,,,75.0,900.0,8
16,كرتونه كبده امريكى كيلو,ابوهاشم,5.0,,,,170.0,850.0,2
11111,كفته حاتي سيخ طبق,غير مصنف,16.0,,,,40.0,640.0,4
296,عجينه كفته طبق,الهنا,3.0,,,,200.0,600.0,1
432,بفتيك 600 جرام طبق,ابوهاشم,3.0,,,,180.0,540.0,2
383,كيلو عجينة سجق مخصوص طبق,غير مصنف,3.0,,,,150.0,450.0,2
419,عجينة سجق اسباشيل بقرى 250 جرام طبق,اسبشيال,35.0,,,,12.5,437.5,7
388,عجينة كفته الهنا خام طبق,الهنا,5.0,,,,80.0,400.0,1
299,جلد فراخ طبق,ابوهاشم,15.0,,,,26.0,390.0,1
440,استربس الهنا 1 كيلو,الهنا,3.0,,,,120.0,360.0,1
370,مفروم فراخ A طبق,ابوهاشم,5.0,,,,60.0,300.0,1
416,عجينة سجق اسبشيال نصف كيلو طبق,اسبشيال,6.0,,,,23.333333333333332,140.0,4
379,بكرة لزق شفاف طبق,غير مصنف,1.0,,,,25.0,25.0,1
436,عجينة بقرى 500 جرام كيلو,ابوهاشم,1.0,,,,0.0,0.0,1
